epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,10256.2,1.24515,0.65885,0.90203,0.83084,0.73311,0.82378,0.48834,1.31966,0.83895,0.93709,0.00109,0.00109,0.00109
92,10336.9,1.23931,0.64959,0.90315,0.83078,0.7304,0.82315,0.48828,1.31873,0.8387,0.9371,0.000991,0.000991,0.000991
93,10417.6,1.23504,0.64507,0.8974,0.83203,0.73026,0.82341,0.48851,1.31848,0.83692,0.93723,0.000892,0.000892,0.000892
94,10498.5,1.22617,0.63907,0.89712,0.83507,0.73043,0.82379,0.48893,1.32001,0.8382,0.9373,0.000793,0.000793,0.000793
95,10580.2,1.22926,0.63963,0.89889,0.83468,0.72998,0.82353,0.48869,1.31851,0.83545,0.93741,0.000694,0.000694,0.000694
96,10662,1.2226,0.63982,0.89542,0.83137,0.72975,0.82246,0.48868,1.31894,0.8358,0.93724,0.000595,0.000595,0.000595
97,10743,1.21936,0.6341,0.89572,0.83099,0.73043,0.82327,0.48886,1.31873,0.8356,0.93723,0.000496,0.000496,0.000496
98,10823.7,1.21771,0.63342,0.89394,0.82979,0.7307,0.82314,0.48815,1.31919,0.83522,0.93721,0.000397,0.000397,0.000397
99,10903.9,1.20898,0.62748,0.89293,0.83065,0.73266,0.82363,0.4887,1.32015,0.83583,0.93754,0.000298,0.000298,0.000298
100,10987.1,1.20781,0.62655,0.89202,0.83252,0.7311,0.82357,0.48868,1.32027,0.83485,0.93762,0.000199,0.000199,0.000199
